"Date Time","Date Time(RAW)","%idle","%idle(RAW)","%user","%user(RAW)","%system","%system(RAW)","%iowait","%iowait(RAW)","%used","%used(RAW)","Coverage","Coverage(RAW)"
"4/18/2020 12:15:42 PM","43939.2192386227","99.9 %","99.9000","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.1 %","0.1000","100 %","0000010000"
"4/18/2020 12:16:32 PM","43939.2198155671","99.83 %","99.8300","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.17 %","0.1700","100 %","0000010000"
"4/18/2020 12:17:32 PM","43939.2205102546","99.81 %","99.8100","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.19 %","0.1900","100 %","0000010000"
"4/18/2020 12:18:32 PM","43939.2212051505","99.87 %","99.8700","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.13 %","0.1300","100 %","0000010000"
"4/18/2020 12:19:32 PM","43939.2218990394","99.87 %","99.8700","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.13 %","0.1300","100 %","0000010000"
"4/18/2020 12:20:32 PM","43939.2225934722","99.87 %","99.8700","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.13 %","0.1300","100 %","0000010000"
"4/18/2020 12:21:32 PM","43939.2232878588","99.79 %","99.7900","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.21 %","0.2100","100 %","0000010000"
"4/18/2020 12:22:32 PM","43939.2239823611","99.84 %","99.8400","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.16 %","0.1600","100 %","0000010000"
"4/18/2020 12:23:32 PM","43939.2246769907","99.84 %","99.8400","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.16 %","0.1600","100 %","0000010000"
"4/18/2020 12:24:32 PM","43939.2253712268","99.78 %","99.7800","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.22 %","0.2200","100 %","0000010000"
"4/18/2020 12:25:32 PM","43939.2260657407","99.78 %","99.7800","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.22 %","0.2200","100 %","0000010000"
"4/18/2020 12:26:32 PM","43939.2267600579","99.81 %","99.8100","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.19 %","0.1900","100 %","0000010000"
"4/18/2020 12:27:32 PM","43939.2274545602","99.6 %","99.6000","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.4 %","0.4000","100 %","0000010000"
"4/18/2020 12:28:32 PM","43939.2281491204","99.32 %","99.3200","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.68 %","0.6800","100 %","0000010000"
"4/18/2020 12:29:27 PM","43939.2287870602","99.88 %","99.8800","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.12 %","0.1200","100 %","0000010000"
"4/18/2020 12:30:32 PM","43939.2295379398","99.8 %","99.8000","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.2 %","0.2000","100 %","0000010000"
"4/18/2020 12:31:32 PM","43939.2302322222","99.42 %","99.4200","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.58 %","0.5800","100 %","0000010000"
"4/18/2020 12:32:32 PM","43939.2309268866","99.76 %","99.7600","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.24 %","0.2400","100 %","0000010000"
"4/18/2020 12:33:27 PM","43939.2315660995","99.84 %","99.8400","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.16 %","0.1600","100 %","0000010000"
"4/18/2020 12:34:32 PM","43939.2323157523","99.86 %","99.8600","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.14 %","0.1400","100 %","0000010000"
