"Date Time","Date Time(RAW)","free","free(RAW)","shared","shared(RAW)","buff/cache","buff/cache(RAW)","available","available(RAW)","used","used(RAW)","buffers","buffers(RAW)","cached","cached(RAW)","Available","Available(RAW)","Coverage","Coverage(RAW)"
"4/18/2020 12:15:42 PM","43939.2192385301","4715 MB","4715.0000","10 MB","10.0000","3403 MB","3403.0000","7907 MB","7907.0000","3789 MB","3789.0000","","","","","","","100 %","0000010000"
"4/18/2020 12:16:37 PM","43939.2198738194","4716 MB","4716.0000","10 MB","10.0000","3403 MB","3403.0000","7909 MB","7909.0000","3788 MB","3788.0000","","","","","","","100 %","0000010000"
"4/18/2020 12:17:37 PM","43939.2205685185","4720 MB","4720.0000","10 MB","10.0000","3403 MB","3403.0000","7912 MB","7912.0000","3784 MB","3784.0000","","","","","","","100 %","0000010000"
"4/18/2020 12:18:37 PM","43939.2212629514","4719 MB","4719.0000","10 MB","10.0000","3403 MB","3403.0000","7912 MB","7912.0000","3785 MB","3785.0000","","","","","","","100 %","0000010000"
"4/18/2020 12:19:37 PM","43939.2219574537","4717 MB","4717.0000","10 MB","10.0000","3403 MB","3403.0000","7910 MB","7910.0000","3786 MB","3786.0000","","","","","","","100 %","0000010000"
"4/18/2020 12:20:37 PM","43939.2226518287","4720 MB","4720.0000","10 MB","10.0000","3403 MB","3403.0000","7913 MB","7913.0000","3785 MB","3785.0000","","","","","","","100 %","0000010000"
"4/18/2020 12:21:37 PM","43939.2233461806","4719 MB","4719.0000","10 MB","10.0000","3403 MB","3403.0000","7910 MB","7910.0000","3785 MB","3785.0000","","","","","","","100 %","0000010000"
"4/18/2020 12:22:37 PM","43939.2240400579","4718 MB","4718.0000","10 MB","10.0000","3403 MB","3403.0000","7911 MB","7911.0000","3786 MB","3786.0000","","","","","","","100 %","0000010000"
"4/18/2020 12:23:37 PM","43939.2247349306","4718 MB","4718.0000","10 MB","10.0000","3403 MB","3403.0000","7911 MB","7911.0000","3786 MB","3786.0000","","","","","","","100 %","0000010000"
"4/18/2020 12:24:37 PM","43939.2254295139","4718 MB","4718.0000","10 MB","10.0000","3403 MB","3403.0000","7912 MB","7912.0000","3785 MB","3785.0000","","","","","","","100 %","0000010000"
"4/18/2020 12:25:37 PM","43939.2261239005","4720 MB","4720.0000","10 MB","10.0000","3403 MB","3403.0000","7913 MB","7913.0000","3785 MB","3785.0000","","","","","","","100 %","0000010000"
"4/18/2020 12:26:37 PM","43939.2268178241","4719 MB","4719.0000","11 MB","11.0000","3403 MB","3403.0000","7912 MB","7912.0000","3785 MB","3785.0000","","","","","","","100 %","0000010000"
"4/18/2020 12:27:37 PM","43939.2275124074","4713 MB","4713.0000","11 MB","11.0000","3403 MB","3403.0000","7906 MB","7906.0000","3791 MB","3791.0000","","","","","","","100 %","0000010000"
"4/18/2020 12:28:37 PM","43939.2282071528","4712 MB","4712.0000","11 MB","11.0000","3403 MB","3403.0000","7905 MB","7905.0000","3791 MB","3791.0000","","","","","","","100 %","0000010000"
"4/18/2020 12:29:37 PM","43939.2289015857","4714 MB","4714.0000","11 MB","11.0000","3403 MB","3403.0000","7907 MB","7907.0000","3790 MB","3790.0000","","","","","","","100 %","0000010000"
"4/18/2020 12:30:37 PM","43939.2295961690","4714 MB","4714.0000","11 MB","11.0000","3403 MB","3403.0000","7901 MB","7901.0000","3789 MB","3789.0000","","","","","","","100 %","0000010000"
"4/18/2020 12:31:37 PM","43939.2302906829","4718 MB","4718.0000","11 MB","11.0000","3403 MB","3403.0000","7911 MB","7911.0000","3786 MB","3786.0000","","","","","","","100 %","0000010000"
"4/18/2020 12:32:37 PM","43939.2309845370","4717 MB","4717.0000","11 MB","11.0000","3403 MB","3403.0000","7910 MB","7910.0000","3787 MB","3787.0000","","","","","","","100 %","0000010000"
